contributors,coordinates,coordinates.coordinates,coordinates.type,created_at,display_text_range,entities.hashtags,entities.media,entities.symbols,entities.urls,entities.user_mentions,extended_entities.media,favorite_count,favorited,full_text,geo,geo.coordinates,geo.type,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,place.bounding_box.coordinates,place.bounding_box.type,place.contained_within,place.country,place.country_code,place.full_name,place.id,place.name,place.place_type,place.url,possibly_sensitive,possibly_sensitive_appealable,quoted_status.contributors,quoted_status.coordinates,quoted_status.created_at,quoted_status.display_text_range,quoted_status.entities.hashtags,quoted_status.entities.media,quoted_status.entities.symbols,quoted_status.entities.urls,quoted_status.entities.user_mentions,quoted_status.extended_entities.media,quoted_status.favorite_count,quoted_status.favorited,quoted_status.full_text,quoted_status.geo,quoted_status.id,quoted_status.id_str,quoted_status.in_reply_to_screen_name,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.is_quote_status,quoted_status.lang,quoted_status.place,quoted_status.place.bounding_box.coordinates,quoted_status.place.bounding_box.type,quoted_status.place.contained_within,quoted_status.place.country,quoted_status.place.country_code,quoted_status.place.full_name,quoted_status.place.id,quoted_status.place.name,quoted_status.place.place_type,quoted_status.place.url,quoted_status.possibly_sensitive,quoted_status.possibly_sensitive_appealable,quoted_status.quoted_status_id,quoted_status.quoted_status_id_str,quoted_status.quoted_status_permalink.display,quoted_status.quoted_status_permalink.expanded,quoted_status.quoted_status_permalink.url,quoted_status.retweet_count,quoted_status.retweeted,quoted_status.source,quoted_status.truncated,quoted_status.user.can_media_tag,quoted_status.user.contributors_enabled,quoted_status.user.created_at,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.description,quoted_status.user.entities.description.urls,quoted_status.user.entities.url.urls,quoted_status.user.favourites_count,quoted_status.user.follow_request_sent,quoted_status.user.followed_by,quoted_status.user.followers_count,quoted_status.user.following,quoted_status.user.friends_count,quoted_status.user.geo_enabled,quoted_status.user.has_extended_profile,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.is_translation_enabled,quoted_status.user.is_translator,quoted_status.user.lang,quoted_status.user.listed_count,quoted_status.user.location,quoted_status.user.name,quoted_status.user.notifications,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_banner_url,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.protected,quoted_status.user.screen_name,quoted_status.user.statuses_count,quoted_status.user.time_zone,quoted_status.user.translator_type,quoted_status.user.url,quoted_status.user.utc_offset,quoted_status.user.verified,quoted_status.user.withheld_in_countries,quoted_status.withheld_in_countries,quoted_status_id,quoted_status_id_str,quoted_status_permalink.display,quoted_status_permalink.expanded,quoted_status_permalink.url,retweet_count,retweeted,source,truncated,user.can_media_tag,user.contributors_enabled,user.created_at,user.default_profile,user.default_profile_image,user.description,user.entities.description.urls,user.entities.url.urls,user.favourites_count,user.follow_request_sent,user.followed_by,user.followers_count,user.following,user.friends_count,user.geo_enabled,user.has_extended_profile,user.id,user.id_str,user.is_translation_enabled,user.is_translator,user.lang,user.listed_count,user.location,user.name,user.notifications,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_banner_url,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.protected,user.screen_name,user.statuses_count,user.time_zone,user.translator_type,user.url,user.utc_offset,user.verified
,,,,Fri Dec 27 00:28:15 +0000 2019,"[12, 41]","[{'text': 'CancelNetflix', 'indices': [21, 35]}]",,[],[],"[{'screen_name': 'Emmytation', 'name': 'slaytime deepiNNess 🦇❤', 'id': 3148861104, 'id_str': '3148861104', 'indices': [0, 11]}]",,1,False,@Emmytation It’s the #CancelNetflix thing,,,,1210356684226531328,1210356684226531328,Emmytation,1.2103537147850752e+18,1210353714785075201,3148861104.0,3148861104,False,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,Sat Feb 22 02:36:25 +0000 2014,False,False,former Attorney General of the United States https://t.co/QBSPZKHAan,"[{'url': 'https://t.co/QBSPZKHAan', 'expanded_url': 'https://twitter.com/i/moments/1004960322036346881', 'display_url': 'twitter.com/i/moments/1004…', 'indices': [45, 68]}]","[{'url': 'https://t.co/C9o9Zmw59s', 'expanded_url': 'https://twitter.com/search?q=from%3Ajoparkerbear%20exclude%3Areplies&src=typed_query&f=live', 'display_url': 'twitter.com/search?q=from%…', 'indices': [0, 23]}]",269312,False,False,14097,False,1513,True,False,2355650738,2355650738,False,False,,322,United States,Brosephine Wires,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,https://pbs.twimg.com/profile_banners/2355650738/1564980859,http://pbs.twimg.com/profile_images/1048837212702355457/Tx3H9ers_normal.jpg,https://pbs.twimg.com/profile_images/1048837212702355457/Tx3H9ers_normal.jpg,FAB81E,000000,000000,000000,False,False,JoParkerBear,195658,,none,https://t.co/C9o9Zmw59s,,False
,,,,Sun Dec 15 13:20:15 +0000 2019,"[0, 273]","[{'text': 'cancelnetflix', 'indices': [257, 271]}]",,[],"[{'url': 'https://t.co/10qgqcPKBR', 'expanded_url': 'https://twitter.com/myjourneymyself/status/1206145807478595584', 'display_url': 'twitter.com/myjourneymysel…', 'indices': [274, 297]}]",[],,0,False,"Great, we would not want to dishonor this President with an entity such as Nero.

Nero could never believably portrait President Trump.
A bad cop? Yes, that would work. No acting required.

I shall not watch a Nero movie again.

Btw, take up your cross and #cancelnetflix ! https://t.co/10qgqcPKBR",,,,1206202311829262336,1206202311829262336,,,,,,True,en,,,,,,,,,,,,False,False,,,Sun Dec 15 09:35:44 +0000 2019,"[0, 278]",[],,[],"[{'url': 'https://t.co/uk6hJWOrZY', 'expanded_url': 'https://www.breitbart.com/entertainment/2019/12/14/robert-de-niro-trump-a-nasty-little-bitch-and-his-supporters-are-crazy/', 'display_url': 'breitbart.com/entertainment/…', 'indices': [255, 278]}]",[],,815.0,False,"De Niro promises he'll never portray the President in any films because Trump is an awful person.  

Said Trump should set good examples &amp; do the right thing instead of being a ""nasty bitch"".

I think he's confused on who the awful nasty person is!!

https://t.co/uk6hJWOrZY",,1.2061458074785956e+18,1206145807478595584,,,,,,False,en,,,,,,,,,,,,False,False,,,,,,425.0,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,Mon Jul 05 01:18:36 +0000 2010,False,False,Christian Conservative - Deplorable Cult45 Member - MAGA - WWG1WGA - ScottBaiosArmy ❤️Married ⛔️⛔️LISTS = BLOCK⛔️⛔️ 😡DM for Hookups = BLOCK 😡,[],"[{'url': 'https://t.co/mA99ySDFuT', 'expanded_url': 'https://parler.com/myjourneymyself', 'display_url': 'parler.com/myjourneymyself', 'indices': [0, 23]}]",41137.0,False,False,40286.0,False,40635.0,False,False,162905340.0,162905340,False,False,,1.0,United States,"Me, Myself & I 🇺🇸",False,4F3E0D,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,False,https://pbs.twimg.com/profile_banners/162905340/1579300415,http://pbs.twimg.com/profile_images/1179163989189758981/mmKXCzlR_normal.jpg,https://pbs.twimg.com/profile_images/1179163989189758981/mmKXCzlR_normal.jpg,070906,31331F,7B995C,0B0A06,True,False,myjourneymyself,65541.0,,none,https://t.co/mA99ySDFuT,,False,,,1.2061458074785956e+18,1206145807478595584,twitter.com/myjourneymysel…,https://twitter.com/myjourneymyself/status/1206145807478595584,https://t.co/10qgqcPKBR,0,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,Fri Oct 25 13:09:29 +0000 2019,True,False,"#Christian #ghostwriter, #writer, eagle-eyed #copyeditor and #coffeeshop partner Unapologetically #Jesus1st DJ #Trump is the greatest US President of all times.",[],,7756,False,False,1718,False,1688,False,True,1187717668964589568,1187717668964589568,False,False,,0,,CHAOS Media Productions ⭐️⭐️⭐️,False,F5F8FA,,,False,https://pbs.twimg.com/profile_banners/1187717668964589568/1573313343,http://pbs.twimg.com/profile_images/1193191826901078018/nDOeXhcw_normal.jpg,https://pbs.twimg.com/profile_images/1193191826901078018/nDOeXhcw_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,CHAOSMediaProd,3661,,none,,,False
,,,,Sat Dec 14 19:32:52 +0000 2019,"[17, 262]","[{'text': 'CancelNetflix', 'indices': [248, 262]}]",,[],[],"[{'screen_name': 'TaylorRMarshall', 'name': 'Dr Taylor Marshall 🔥', 'id': 19738104, 'id_str': '19738104', 'indices': [0, 16]}]",,59,False,"@TaylorRMarshall I canceled Netflix because:
- the fornication &amp; masturbation in Big Mouth
- the sacrilegious use of the name of our Lord in Stranger Things
- their role in promoting death of the pre-born being against the Georgia abortion law
#CancelNetflix",,,,1205933694768353281,1205933694768353281,TaylorRMarshall,1.2058703509170995e+18,1205870350917099523,19738104.0,19738104,False,en,,"[[[-106.634874, 31.6206683], [-106.199987, 31.6206683], [-106.199987, 31.966068], [-106.634874, 31.966068]]]",Polygon,[],United States,US,"El Paso, TX",6a0a3474d8c5113c,El Paso,city,https://api.twitter.com/1.1/geo/id/6a0a3474d8c5113c.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,True,False,Sun Jun 28 05:34:56 +0000 2009,False,False,,[],,4142,False,False,39,False,84,True,False,51660788,51660788,False,False,,1,"Colorado, USA",carlos a loya,False,050505,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,,http://pbs.twimg.com/profile_images/345125649/ubuntu_4_people_normal.PNG,https://pbs.twimg.com/profile_images/345125649/ubuntu_4_people_normal.PNG,0084B4,BDDCAD,DDFFCC,333333,True,False,caloya,1880,,none,,,False
,,,,Sat Dec 28 01:08:15 +0000 2019,"[0, 43]","[{'text': 'ChaoNetflix', 'indices': [0, 12]}, {'text': 'cancelonetflix', 'indices': [13, 28]}, {'text': 'cancelnetflix', 'indices': [29, 43]}]",,[],"[{'url': 'https://t.co/PwRs29C4X9', 'expanded_url': 'https://twitter.com/wiltamayo/status/1210592080910786562', 'display_url': 'twitter.com/wiltamayo/stat…', 'indices': [44, 67]}]",[],,1,False,#ChaoNetflix #cancelonetflix #cancelnetflix https://t.co/PwRs29C4X9,,,,1210729138266370048,1210729138266370048,,,,,,True,und,,,,,,,,,,,,False,False,,,Fri Dec 27 16:03:38 +0000 2019,"[0, 267]","[{'text': 'ChaoNetflix', 'indices': [255, 267]}]","[{'id': 1210592079103057920, 'id_str': '1210592079103057920', 'indices': [268, 291], 'media_url': 'http://pbs.twimg.com/media/EMzjFPrW4AAMAl8.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EMzjFPrW4AAMAl8.jpg', 'url': 'https://t.co/HzikLRerht', 'display_url': 'pic.twitter.com/HzikLRerht', 'expanded_url': 'https://twitter.com/wiltamayo/status/1210592080910786562/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 654, 'h': 403, 'resize': 'fit'}, 'medium': {'w': 654, 'h': 403, 'resize': 'fit'}, 'large': {'w': 654, 'h': 403, 'resize': 'fit'}}, 'features': {'orig': {'faces': []}, 'small': {'faces': []}, 'medium': {'faces': []}, 'large': {'faces': []}}}]",[],[],"[{'screen_name': 'NetflixLAT', 'name': 'Netflix Latinoamérica', 'id': 231577324, 'id_str': '231577324', 'indices': [60, 71]}]","[{'id': 1210592079103057920, 'id_str': '1210592079103057920', 'indices': [268, 291], 'media_url': 'http://pbs.twimg.com/media/EMzjFPrW4AAMAl8.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EMzjFPrW4AAMAl8.jpg', 'url': 'https://t.co/HzikLRerht', 'display_url': 'pic.twitter.com/HzikLRerht', 'expanded_url': 'https://twitter.com/wiltamayo/status/1210592080910786562/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 654, 'h': 403, 'resize': 'fit'}, 'medium': {'w': 654, 'h': 403, 'resize': 'fit'}, 'large': {'w': 654, 'h': 403, 'resize': 'fit'}}, 'features': {'orig': {'faces': []}, 'small': {'faces': []}, 'medium': {'faces': []}, 'large': {'faces': []}}}]",2064.0,False,"Con más de 3 millones de firmas pedimos, respetuosamente, a @NetflixLAT que quitaran la película cristianófoba que insulta a Jesús. No les importaron los cristianos... ahora, los cristianos cancelamos su servicio. Es lógico. Y sus acciones se desploman. 
#ChaoNetflix https://t.co/HzikLRerht",,1.2105920809107866e+18,1210592080910786562,,,,,,False,es,,,,,,,,,,,,False,False,,,,,,1028.0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,True,False,Sat Mar 12 15:29:39 +0000 2011,False,False,"https://t.co/zIcQsL0Mwr 

¿Quién como Dios? ¡No existe mejor camino para llegar a Jesús que amar a María!","[{'url': 'https://t.co/zIcQsL0Mwr', 'expanded_url': 'http://facebook.com/wiltamayo', 'display_url': 'facebook.com/wiltamayo', 'indices': [0, 23]}]",,153.0,False,False,29040.0,False,149.0,True,True,264856110.0,264856110,False,False,,88.0,Mi patria: el Cielo,𝕎𝕚𝕝𝕤𝕠𝕟 𝕋𝕒𝕞𝕒𝕪𝕠,False,8B542B,http://abs.twimg.com/images/themes/theme8/bg.gif,https://abs.twimg.com/images/themes/theme8/bg.gif,False,https://pbs.twimg.com/profile_banners/264856110/1353011579,http://pbs.twimg.com/profile_images/1121201070003372033/achKapw__normal.jpg,https://pbs.twimg.com/profile_images/1121201070003372033/achKapw__normal.jpg,9D582E,FFFFFF,EADEAA,333333,True,False,wiltamayo,46673.0,,none,,,False,,,1.2105920809107866e+18,1210592080910786562,twitter.com/wiltamayo/stat…,https://twitter.com/wiltamayo/status/1210592080910786562,https://t.co/PwRs29C4X9,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,True,False,Thu Dec 30 02:11:56 +0000 2010,True,False,,[],,649,False,False,130,False,153,False,False,232016056,232016056,False,False,,0,Ibarra,Luis O. Pérez,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,,http://pbs.twimg.com/profile_images/378800000058912595/a7e077ddcf18086e506470a79e2bef72_normal.jpeg,https://pbs.twimg.com/profile_images/378800000058912595/a7e077ddcf18086e506470a79e2bef72_normal.jpeg,1DA1F2,C0DEED,DDEEF6,333333,True,False,luisaopc,710,,none,,,False
,,,,Fri Dec 27 00:43:01 +0000 2019,"[0, 112]","[{'text': 'cancelnetflix', 'indices': [35, 49]}]",,[],[],"[{'screen_name': 'PureFlix', 'name': 'Pure Flix', 'id': 103006172, 'id_str': '103006172', 'indices': [19, 28]}, {'screen_name': 'JackPosobiec', 'name': 'Jack Posobiec 🇺🇸', 'id': 592730371, 'id_str': '592730371', 'indices': [71, 84]}]",,0,False,Did not know about @PureFlix until #cancelnetflix started trending and @JackPosobiec mentioned them. Signing up!,,,,1210360400920924160,1210360400920924160,,,,,,False,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,Fri Dec 11 05:16:30 +0000 2009,False,False,#ronpaul #randpaul.NAP.,[],,19537,False,False,1070,False,1911,False,False,96063461,96063461,False,False,,46,,Shays,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,https://pbs.twimg.com/profile_banners/96063461/1565042037,http://pbs.twimg.com/profile_images/1212921968456024066/_YEel9EG_normal.jpg,https://pbs.twimg.com/profile_images/1212921968456024066/_YEel9EG_normal.jpg,0084B4,FFFFFF,DDEEF6,333333,True,False,snoopuhh,156660,,none,,,False
,,,,Fri Dec 20 18:08:49 +0000 2019,"[0, 279]","[{'text': 'CancelledNetflix', 'indices': [57, 74]}, {'text': 'blasphemous', 'indices': [147, 159]}, {'text': 'CancelNetflix', 'indices': [166, 180]}, {'text': 'badmarketing', 'indices': [181, 194]}, {'text': 'pureflix', 'indices': [219, 228]}, {'text': 'philo', 'indices': [229, 235]}, {'text': 'hulu', 'indices': [236, 241]}, {'text': 'slingtv', 'indices': [242, 250]}, {'text': 'amazonprime', 'indices': [251, 263]}, {'text': 'BoycottNetflix', 'indices': [264, 279]}]",,[],[],"[{'screen_name': 'netflix', 'name': 'Netflix US', 'id': 16573941, 'id_str': '16573941', 'indices': [5, 13]}]",,3,False,"Hey, @netflix we were early subscribers from way back. I #CancelledNetflix when you made it clear that Christian subscribers are unwelcome w/ your #blasphemous film. #CancelNetflix #badmarketing Folks, there r choices: #pureflix #philo #hulu #slingtv #amazonprime #BoycottNetflix",,,,1208086868321095682,1208086868321095682,,,,,,False,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,Thu Sep 26 15:41:45 +0000 2013,False,False,"Christian & DIY-er, I enjoy painting, sketching, mixed media, reading, learning & writing. I'm a work in progress. Every day's a gift-- Love, Grow, Shine! #MAGA",[],,9797,False,False,524,False,817,False,False,1908312728,1908312728,False,False,,14,,Ms Just Me,False,EBEBEB,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,https://pbs.twimg.com/profile_banners/1908312728/1485231132,http://pbs.twimg.com/profile_images/459568706340020224/P6DCsdat_normal.jpeg,https://pbs.twimg.com/profile_images/459568706340020224/P6DCsdat_normal.jpeg,990000,DFDFDF,F3F3F3,333333,True,False,watercolorrain,85,,none,,,False
,,,,Fri Dec 13 06:14:18 +0000 2019,"[0, 225]","[{'text': 'cancelNetflix', 'indices': [0, 14]}]",,[],[],[],,22,False,#cancelNetflix - This time Netflix has gone to far. The first temptation of Christ? Are you kidding me? They wouldn't release a movie that denigrates Muslims but feel they can drag Christians through the mud. No more Netflix!,,,,1205370339007422464,1205370339007422464,,,,,,False,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,True,False,Fri Oct 24 06:30:00 +0000 2008,False,False,Independent Political Blog,[],"[{'url': 'http://t.co/grXw2gOvYc', 'expanded_url': 'http://www.bertspost.com', 'display_url': 'bertspost.com', 'indices': [0, 22]}]",11442,False,False,1184,False,2010,False,False,16944777,16944777,False,False,,31,United States,BertsPost.com,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,,http://pbs.twimg.com/profile_images/378800000339976760/576ccc4dbb7245fe70e8cf2225084925_normal.png,https://pbs.twimg.com/profile_images/378800000339976760/576ccc4dbb7245fe70e8cf2225084925_normal.png,009999,EEEEEE,EFEFEF,333333,True,False,bertspost,20418,,none,http://t.co/grXw2gOvYc,,False
,,,,Sun Dec 15 19:55:08 +0000 2019,"[10, 94]","[{'text': 'BoycottNetflix', 'indices': [48, 63]}, {'text': 'CancelNetflix', 'indices': [80, 94]}]",,[],[],"[{'screen_name': 'trtworld', 'name': 'TRT World', 'id': 3091150576, 'id_str': '3091150576', 'indices': [0, 9]}]",,9,False,"@trtworld Please join us all over the world and #BoycottNetflix, that’s enough! #CancelNetflix",,,,1206301687230664704,1206301687230664704,trtworld,1.2059103228941353e+18,1205910322894135296,3091150576.0,3091150576,False,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,Mon Jul 18 21:47:22 +0000 2011,False,False,"#Moro2022 pq Jair tá sacrificando as ovelhas e deixando os lobos vivos. Sou Lavajatista! tô com o povo, nas dores e na alegria!",[],,30590,False,False,432,False,288,False,False,337974728,337974728,False,False,,2,Brasil,Cla,False,AFB1D6,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,https://pbs.twimg.com/profile_banners/337974728/1577305740,http://pbs.twimg.com/profile_images/1218325788455505921/s5f6U3pU_normal.jpg,https://pbs.twimg.com/profile_images/1218325788455505921/s5f6U3pU_normal.jpg,19CF86,E6A31C,D7CEE0,4F2933,True,False,PatriotaDoBR1,11662,,none,,,False
,,,,Tue Dec 17 11:44:46 +0000 2019,"[17, 90]","[{'text': 'cancelnetflix', 'indices': [48, 62]}]",,[],[],"[{'screen_name': 'TaylorRMarshall', 'name': 'Dr Taylor Marshall 🔥', 'id': 19738104, 'id_str': '19738104', 'indices': [0, 16]}]",,0,False,@TaylorRMarshall Just cancelled my subscription #cancelnetflix they don't deserve a penny!,,,,1206903055599460352,1206903055599460352,TaylorRMarshall,1.2058703509170995e+18,1205870350917099523,19738104.0,19738104,False,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,Mon Apr 26 07:22:20 +0000 2010,False,False,"Husband, and proud father of 8",[],,3806,False,False,673,False,3827,True,True,137253601,137253601,False,False,,4,"Kampala, Uganda",Eric K 🇺🇬,False,352726,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,True,https://pbs.twimg.com/profile_banners/137253601/1539969497,http://pbs.twimg.com/profile_images/962711065955061762/rN2rOwk-_normal.jpg,https://pbs.twimg.com/profile_images/962711065955061762/rN2rOwk-_normal.jpg,3B94D9,829D5E,99CC33,3E4415,True,False,ekigozi,1683,,none,,,False
,,,,Sun Dec 15 01:39:19 +0000 2019,"[0, 41]","[{'text': 'CancelNetflix', 'indices': [27, 41]}]",,[],"[{'url': 'https://t.co/g5K6JQzCNk', 'expanded_url': 'https://twitter.com/TaylorRMarshall/status/1205870350917099523', 'display_url': 'twitter.com/TaylorRMarshal…', 'indices': [42, 65]}]",[],,1,False,I just dropped them myself #CancelNetflix https://t.co/g5K6JQzCNk,,,,1206025913927917568,1206025913927917568,,,,,,True,en,,,,,,,,,,,,False,False,,,Sat Dec 14 15:21:10 +0000 2019,"[0, 166]","[{'text': 'CancelNetflix', 'indices': [132, 146]}]",,[],[],[],,1946.0,False,"Netflix is depicting Christ as homosexual. Imagine if they did this with Muhammad! Christians, why are you such spiritual cuckolds? #CancelNetflix and raise a ruckus.",,1.2058703509170995e+18,1205870350917099523,,,,,,False,en,,,,,,,,,,,,,,,,,,,732.0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,True,False,Thu Jan 29 22:10:33 +0000 2009,False,False,Philosophy Prof. #Thomist. #NaturalLaw Father of 8. Husband of 1. Author of 8 books including bestseller: #INFILTRATION (link at https://t.co/FUzEYbNX2E),"[{'url': 'https://t.co/FUzEYbNX2E', 'expanded_url': 'https://amzn.to/2ZLvLnm', 'display_url': 'amzn.to/2ZLvLnm', 'indices': [129, 152]}]","[{'url': 'https://t.co/8xBbaZnLop', 'expanded_url': 'http://www.taylormarshall.com', 'display_url': 'taylormarshall.com', 'indices': [0, 23]}]",46108.0,False,False,42096.0,False,80.0,False,False,19738104.0,19738104,False,False,,538.0,"Texas, USA",Dr Taylor Marshall 🔥,False,000000,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,https://pbs.twimg.com/profile_banners/19738104/1410386316,http://pbs.twimg.com/profile_images/1126191894625771520/soyTVRlE_normal.png,https://pbs.twimg.com/profile_images/1126191894625771520/soyTVRlE_normal.png,1B95E0,000000,000000,000000,False,False,TaylorRMarshall,1240.0,,none,https://t.co/8xBbaZnLop,,False,,,1.2058703509170995e+18,1205870350917099523,twitter.com/TaylorRMarshal…,https://twitter.com/TaylorRMarshall/status/1205870350917099523,https://t.co/g5K6JQzCNk,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,Sat Aug 14 00:27:16 +0000 2010,True,False,"BioLogoist 
Libertarian",[],,1208,False,False,136,False,344,True,False,178147079,178147079,False,False,,2,"Atlanta,  GA",Ben English,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,,http://pbs.twimg.com/profile_images/1102392867/41558_1048035121_8119_q_normal.jpg,https://pbs.twimg.com/profile_images/1102392867/41558_1048035121_8119_q_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,benglish2016,3311,,none,,,False
