user.id_str,user.name,user.screen_name,user.description,conservative
753643604426489856,Phenice McCall#BorisIsMyPrimeMinister✡️🇬🇧,PheniceMccall,,1.0
1104467684,🇺🇸Michael Hays🇺🇸,MichaelHays13,Red Blooded!! All American!! 🌾Heartland born & raised. ⭐️ #MAGA #KAG2020 ⭐️,1.0
106310615,Manasi Scott,ManasiScott,Indian singer. Army brat. Muay Thai panda. Horse-rider. Traveller. Sole keeper of Zephan. For bookings contact@manasiscott.com | https://t.co/MU3LedSHkC,0.0
2993975016,Steve Rabon,srrabon_,"Christian,  SC Gamecocks , College Football,   Outdoorsman🦌   #KAG2020                                              1 Timothy 1:15-16",1.0
954190967422242817,Bonnie Kranick,BonnieKranick,"Mother of 3 Amma to 3 love my kids, love my grandkids DJT MAGA Patriot🇺🇸 #TheGreatAwakening# PatriotsFight#KAG#RedWaveRising#VoteRed",1.0
525599719,🇺🇸 Anna Stand 🇺🇸,ManiaMaiden,✝️Christian✝️~ Married ~ #MilSpouse ~ Conservative ~ Homeschool Mom ~ 💖Saved by Grace💖~ #Trump2020 🇺🇸Proudly Deplorable🇺🇸 I fb #MAGA & #KAG 🇺🇸,1.0
863444739806429184,AmericanClass 🇺🇸,Americanclass3,Conservative. Catholic. LEGAL Immigrant! ProLife! Proud American! Respect the flag! Love my President Trump! #MAGA ❤️🇺🇸🇮🇹NEVER BOW TO MOB! FORMER DEMOCRAT,1.0
533470384,April Jackson,AprilJkcorp,"Constitutionalist, Libertarian Conservative , Republican in that order.!! God Bless America!!🇺🇸#MAGA ❤️married❤️",1.0
3407378483,🚨Fla4TrumpMaga🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,Fla4TrumpMaga,"Here to Support @POTUS
@realDonaldTrump 💯% 
Fight Dem smears #AmericaFirst #Trump2020 #MAGA #KAG2020 #1A #2A #USA Dems/Libs/Left are destroying the USA 🤬👎",1.0
981696610752258048,•*¨*•.¸¸✯*･🍃Ꮙ🍃•*¨*•.¸¸✯*¨,V_actually,Helping #KAG 1 Tweet At A Time▪Twitmo Survivor▪Nimble Navigator▪Not Sarcastic▪Tangible Wishes▪,1.0
1088730609902485505,QuestionsUnlimited,QuestionsUnlim1,"#KAG, #MAGA, no DM's, am losing my vision and using Twitter to get news I trust from reliable sources.",1.0
1055205439305117696,Debbie Crews,DebbieCrews16,I love life,1.0
1064162681337405440,Eloise Wood,EloiseWarrior,"I love God, my family, my country, truth, justice, and my German Shepard. Author, Incognito",1.0
1142444834109550592,GMB Indonesia,gmb_indonesia,GERAKAN MEMBANGUN BANGSA | NGO | Human Resources Development | Fighting Stunting & Malnutrition | Indonesia Golden Generation 2030 - 2045 🇮🇩 💪,0.0
1048324734876897281,truthisfreeing,truthisfreeing1,"MAGA, WWG1WGA, QAnon",1.0
249707950,Kayla Johnson,johnson_kayla,Daughter of the Most High God | Marathoner | CrossFitter | Dog Mom | Democrat | PhD student | Chanticleer👌🏼| Coastal Carolina University Alumna '06,0.0
1177536001100697600,Big Al,BigAl_Texan,🇺🇸🇺🇸🇺🇸Keep America great. #trump2020 🇺🇸🇺🇸🇺🇸 I #followback ALL #Trump supporters #maga I may live in TX but I’ll always be a Volunteer.,1.0
795039449948229632,Sheila,SheilaMarieBro2,"I LOVE JESUS, I BACK OUR PRESIDENT DONALD TRUMP.     MAGA, LOVE ANIMALS,PRO LIFE, PRO ISRAEL, 🇱🇷🇮🇱, 🤗🙏❣NOT wanting to meet for dating or relationships no DM",1.0
174887835,Aisling Halpin,aislinghalpin,🤸‍♀️dancing through life. NYC Actor. (btw it's pronounced Ash-Leen) 🤗,0.0
2305185066,Fem Shapiro,The_Hard_Gudbye,America First,1.0
950736332736876544,Hugh Hess-Hay,HughhessH,"My name says it all. I think, thus I am a #Conservative. Toxic male here to help DJT to #MAGA. #ProLife #BuildTheWall #VoterID #Trump2020 #IsraelForever #NRA",1.0
4532945233,Richard,RoQetRedFlare,,1.0
346371953,Evan Perez,EvanPerez1,,1.0
1203493124477202432,Darrel Hyberg,HybergDarrel,prospector,1.0
15639997,Philip L. Sheffield,Shephild,Believe it or not—even the Sun can cast a shadow...,0.0
786188574810968064,If you are not for Trump than pass on by!⭐⭐⭐,michaelnebraska,"#MAGA
#KAG!
#Cult45
Support Trump 2020%

Text TRUMP to 88022

PROUD HUSKER FAN! 
Twisted and Warped but otherwise just fun!




 
Non followers will be removed!",1.0
1165024070561423360,Doglady48,Doglady482,,1.0
1110010426153205760,K.miele,Kmiele1,"Newsjunkie Trump supporter 
#Red Wave Rising #Maga #Kag
WWG1WGA Conservative #Patriot",1.0
757524655418642437,We Are Patriot Cane,MBNAmerica,USMC Ret. Purple Heart Recp. PTSD issues so tweets sometimes go sideways . Owner https://t.co/eH9dSBBAhk  #AmputeeAdvocate #VeteranAdvocate #TrumpSupporter,1.0
329393228,Sharon Sparks,Sparks1Sharon,Proud of my American Revolution ancestors & Southern roots!  Land of the Free BECAUSE of the Brave!  #Winning #Trump2020  #MAGA #KAG #1A #2A #BuildTheWall,1.0
14084147,Conservatives build & unite. Dems destroy & divide,GorillaToe,"Pro-life gay Catholic, NRA Lifer, proMilitary/LE. God makes it all possible. No DeMs",1.0
1215786460445642753,Michelle Jane,Michell48475934,making people around me happy,1.0
2913829606,Crab Seasoning,crabseasoning47,,1.0
