,name_and_description,conservative
0,Boris Is My Prime Minister ✡ ️ 🇬🇧,1.0
1,🇺🇸 🇺🇸  Red Blooded All American 🌾 Heartland born raised ⭐ ️ MAGA KAG ⭐ ️,1.0
2,Indian singer Army brat Muay Thai panda Horse rider Traveller Sole keeper of Zephan For bookings,0.0
3,Christian SC Gamecocks College Football Outdoorsman 🦌 KAG Timothy 15 16,1.0
4,Mother of Amma to love my kids love my grandkids DJT MAGA Patriot 🇺🇸 The Great Awakening PatriotsFight KAG Red Wave Rising Vote Red,1.0
5,🇺🇸 🇺🇸  ✝ ️ Christian ✝ ️ Married Mil Spouse Conservative Homeschool Mom 💖 Saved by Grace 💖 Trump 2020 🇺🇸 Proudly Deplorable 🇺🇸 fb MAGA KAG 🇺🇸,1.0
6,🇺🇸  Conservative Catholic LEGAL Immigrant ProLife Proud American Respect the flag Love my President Trump MAGA ❤ ️ 🇺🇸 🇮🇹 NEVER BOW TO MOB FORMER DEMOCRAT,1.0
7,Constitutionalist Libertarian Conservative Republican in that order God Bless America 🇺🇸 MAGA ❤ ️ married ❤ ️,1.0
8,🚨 🇺🇸 🇺🇸 🇺🇸 🇺🇸 🇺🇸 🇺🇸 🇺🇸 🇺🇸  Here to Support POTUS realDonaldTrump 💯 Fight Dem smears America First Trump 2020 MAGA KAG 1A 2A USA Dems Libs Left are destroying the USA 🤬 👎,1.0
9,🍃 🍃  Helping KAG Tweet At Time ▪ Twitmo Survivor ▪ Nimble Navigator ▪ Not Sarcastic ▪ Tangible Wishes ▪,1.0
10,KAG MAGA no DM is am losing my vision and using Twitter to get news trust from reliable sources,1.0
11,love life,1.0
12,love God my family my country truth justice and my German Shepard Author Incognito,1.0
13,GERAKAN MEMBANGUN BANGSA NGO Human Resources Development Fighting Stunting Malnutrition Indonesia Golden Generation 2030 2045 🇮🇩 💪,0.0
14,MAGA WWG1WGA QAnon,1.0
15,Daughter of the Most High God Marathoner CrossFitter Dog Mom Democrat PhD student Chanticleer 👌 🏼 Coastal Carolina University Alumna 06,0.0
16,🇺🇸 🇺🇸 🇺🇸 Keep America great trump 2020 🇺🇸 🇺🇸 🇺🇸 followback ALL Trump supporters maga may live in TX but will always be Volunteer,1.0
17,LOVE JESUS BACK OUR PRESIDENT DONALD TRUMP MAGA LOVE ANIMALS PRO LIFE PRO ISRAEL 🇱🇷 🇮🇱 🤗 🙏 ❣ NOT wanting to meet for dating or relationships no DM,1.0
18,🤸 ‍ ♀ ️ dancing through life NYC Actor btw it is pronounced Ash Leen 🤗,0.0
19,America First,1.0
20,My name says it all think thus am Conservative Toxic male here to help DJT to MAGA Pro Life Build The Wall Voter ID Trump 2020 Israel Forever NRA,1.0
21,,1.0
22,,1.0
23,prospector,1.0
24,Believe it or not—even the Sun can cast shadow,0.0
25,⭐ ⭐ ⭐  MAGA KAG Cult 45 Support Trump 2020 Text TRUMP to 88022 PROUD HUSKER FAN Twisted and Warped but otherwise just fun Non followers will be removed,1.0
26,,1.0
27,Newsjunkie Trump supporter Red Wave Rising Maga Kag WWG1WGA Conservative Patriot,1.0
28,USMC Ret Purple Heart Recp PTSD issues so tweets sometimes go sideways Owner Amputee Advocate Veteran Advocate Trump Supporter,1.0
29,Proud of my American Revolution ancestors Southern roots Land of the Free BECAUSE of the Brave Winning Trump 2020 MAGA KAG 1A 2A Build The Wall,1.0
30,Pro life gay Catholic NRA Lifer proMilitary LE God makes it all possible No DeMs,1.0
31,making people around me happy,1.0
32,,1.0
33,God is good all the time Christian pro life 2A small gov BlueLM conservative PRAY FOR PRES TRUMP NO LISTS 🇺🇸 WWG1WGA,1.0
34,on Parler ReconAlpha,1.0
35,,1.0
36,Actor 🎬 Advocate Youth Impact Equality UN SD Gs Supporter Youtuber 💻 Drummer 🎼 Sports Enthusiast ⚾ ️ Tour Management Entrepreneur,0.0
37,Activate1M1B Activate Impact Summit Global Impacters Summit Global Impacters Global Impacters Chat Social Innovators support SD Gs SDG2030,0.0
38,Award winning nonprofit digital media project showcasing entrepreneurial women around the world Submit your startup story,0.0
39,Daughter Sister Fianc é wore the Uniform Now stay awake for you to sleep in Peace Humanity over Ethnicity Resist 🌊 🌊 🌊 🇺🇸 FBR,0.0
40,é  Romántica empedernida Estudiante de Relaciones Internacionales Amante de la naturaleza de la buena comida,0.0
41,👸 🚬  know am smiling right now but the light inside me is dying,0.0
42,pre tribulation salvation by grace thru faith eternal redemption Arsenal,1.0
43,Cuenta de FAN dedicada al actor Irland é Jamie Dornan,0.0
44,GED2EdD retired adjunct instructor at EOU and BMCC,0.0
45,SID Sawareness MAGA KAG TRUMP2020,1.0
46,Sustainable Development Goals SD Gs SD Gs Impact Chat,0.0
47,Pro life Anti Antifa,1.0
48,wife kid mom dog mom dragon mom,0.0
49,🇺🇸 🇮🇱  love Jesus Love Israel Love Trump KAG Veteran Stop Hatred Towards MAGA Closer Nation unborn Lives Matter Standwith Israel no Sharia Law JDI,1.0
50,Believer in Yeshua and redemption through his blood pored out for all who receives his salvation,1.0
51,Keep watching the skies,1.0
52,Mutt American with strong Native American heritage as well Does that make me woman of color What color Are people colored And this itsoktobewhite,1.0
53,Christian Husband Father in that order Blessed to be an American for as long as we stand beside Israel Genesis 12 Specifically Genesis 17 19,1.0
54,Booted from my other PrePOTUS account wwg 1wga qanon bestpresidentever 45,1.0
55,The Pro life people of Northern Ireland say Not In Our Name to Westminster is undemocratic cruel Abortion Law Women babies deserve better 🤱 REPEALSECTION9,1.0
56,🇦🇺  eat memes sarcasm and satire for breakfast justsayin,1.0
57,Christ follower wife mother and nurse do not neccessarily follow those who follow me,1.0
58,Christian conservative Husband Father Grandfather,1.0
59,Desire of my heart is to put images of blessing into this world and glorify Jesus Teacher of Visual Art Bachelor of Art Bachelor of Teaching,1.0
60,film about the hapless woman who became movement,0.0
61,MAGAKAG Make America Great And Keep America Great 600 followers but few ever see my tweets cuz made fun of Chelsea one day Shadowbanned since week,1.0
62,Politically in the middle but presently voting Republican Support Trump take horrible pixs honestly are an ugly old man who shows his age 78,1.0
63,Pastor of NewHopeBrisbane Host of Historymakers radio TV podcast Visionradio,1.0
64,,1.0
65,The latest news about bioethics with an accent on human dignity,1.0
